neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,01,1,M101,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M101""",LEFT,3,1.5,1960,"1,262,500.00",9/10/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G,04,3,G304,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G304""",LEFT,2,1,1960,"1,075,000.00",11/2/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M,02,20,M2002,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M2002""",LEFT,1,1,1960,"875,000.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,04,17,F1704,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1704""",LEFT,2,1,1960,"1,065,000.00",11/12/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D,01,6,D601,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D601""",RIGHT,1,1,1960,"659,000.00",9/20/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G,05,1,G105,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G105""",LEFT,2,1,1960,"1,055,000.00",1/17/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D,01,5,D501,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D501""",RIGHT,4,2,1960,"1,775,000.00",9/24/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,07,2,F207,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F207""",LEFT,2,1,1960,"1,050,000.00",1/9/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,06,12,F1206,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1206""",LEFT,2,1,1960,"1,050,000.00",11/2/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,06,15,L1506,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1506""",MIDDLE,3,1.5,1960,"1,395,000.00",10/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,03,16,H1603,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1603""",MIDDLE,1,1,1960,"738,000.00",10/20/2021
